# index, label, _pos
14165,"SILHANEK, AV","array([ 24.16616596, -96.6001275 ])"
14166,"THOMPSON, JR","array([ 23.3822954 , -96.25982406])"
14167,"SONG, KJ","array([ 24.510938  , -95.86675262])"
14168,"TOMY, CV","array([ 22.79024399, -93.29969982])"
14169,"STAMATESCU, IO","array([8.82407222, 4.28218659])"
14170,"WU, TT","array([ 7.52812662, 12.63628123])"
14171,"KOBELEV, V","array([-128.54999638, -265.92303027])"
14172,"ROMANOV, E","array([-126.73822175, -265.16205548])"
14173,"CAPEL, HW","array([194.57553818, 109.77957663])"
14174,"PASMANTER, RA","array([195.21739736, 107.93731488])"
14175,"YEVTUSHENKO, O","array([ 41.68003135, -29.49933621])"
14176,"ALFORD, M","array([ 0.8331415 , 33.08050414])"
14177,"BRITO, FA","array([-44.46785874, -24.61005111])"
14178,"KLICH, I","array([ 62.99112614, -42.18650839])"
14179,"MANN, A","array([ 59.88574935, -42.72175763])"
14180,"REVZEN, M","array([ 59.21077815, -41.93205106])"
14181,"STARR, S","array([12.98606028, -7.66723303])"
14182,"SEIRINGER, R","array([-198.65060758,  -67.30519192])"
14183,"STORM, C","array([ 21.78876168, -27.21791627])"
14184,"SPRUIJT, W","array([ 22.05511614, -28.10604153])"
14185,"MACHADO, M","array([ 47.44942062, -37.77314174])"
14186,"RAFIITABAR, H","array([112.71907736, 147.14041707])"
14187,"SEPANGI, HR","array([114.53591496, 147.86642039])"
14188,"CHEREMISIN, MV","array([114.36543922, 217.95952491])"
14189,"POTVIN, G","array([ 120.26112719, -245.13401416])"
14190,"MOHANTY, PS","array([38.03710041,  6.14108188])"
14191,"NIETO, MM","array([-226.64682892,   42.29852926])"
14192,"TATSUAKI, W","array([-198.95503614, -190.2608133 ])"
14193,"TONG, YW","array([ 38.57106931, -26.24182693])"
14194,"BROSIG, S","array([ 66.3442746, -28.5474384])"
14195,"WARBURTON, RJ","array([ 66.76800247, -29.30870171])"
14196,"NGUYEN, C","array([ 67.3961725, -28.5257485])"
14197,"BRAR, B","array([ 66.76510728, -27.81704243])"
14198,"FYODOROV, Y","array([49.5147358 , -2.90982987])"
14199,"ANGEWANDTE, VTDSIF","array([ 73.98394349, -41.9779126 ])"
14200,"SINHARAY, P","array([  4.53583662, -12.28069017])"
14201,"CRESCIMANNO, M","array([261.35829935,  78.10782768])"
14202,"KOAY, CG","array([262.9407518 ,  78.98909291])"
14203,"PETERSON, R","array([260.71870399,  79.8445335 ])"
14204,"DUSSEL, GG","array([ 20.2336555, -45.6805473])"
14205,"CROOK, R","array([ 55.86098385, -40.77539303])"
14206,"MONTANARI, A","array([ -5.74893052, -40.62599937])"
14207,"LEE, YH","array([ 7.30889486, 19.28359295])"
14208,"BOLCATTO, PG","array([  4.02886499, 164.39427427])"
14209,"PROETTO, CR","array([  2.1327815 , 164.84217346])"
14210,"KETTENIS, MM","array([287.179075  , -42.08002932])"
14211,"SUTTORP, LG","array([285.28566807, -41.69536043])"
14212,"MEHRA, V","array([ 22.66819731, 180.54249891])"
14213,"LUCA, JD","array([ 21.18877395, 179.29392043])"
14214,"GARCIA, J","array([-14.24679775, -38.66023837])"
14215,"HOPPE, H","array([ 43.19915877, -39.41019179])"
14216,"LEE, JC","array([ 59.36747787, -78.96682   ])"
14217,"IVANOV, VA","array([ 33.61781522, -91.63008787])"
14218,"KHUONG, P","array([ 35.47074656, -90.67526142])"
14219,"MAHAJAN, AV","array([ 24.63856668, -73.19685618])"
14220,"BEMMEL, KJHV","array([ 50.12214658, -24.27340698])"
14221,"QUINTANILLA, J","array([ 77.1597911 , -70.67074872])"
14222,"DUBOS, P","array([ 44.82451468, -47.89313336])"
14223,"CROZES, T","array([ 44.26270661, -45.97761906])"
14224,"PANIEZ, P","array([ 45.39186115, -48.35098121])"
14225,"PERROT, F","array([ 221.20355314, -167.11294438])"
14226,"JOGLEKAR, YN","array([ 49.03516084, -44.78481891])"
14227,"LIMA, KCV","array([-135.19078081,  189.33693745])"
14228,"AYALA, AP","array([-135.15689953,  192.33028204])"
14229,"KADANE, JMF","array([-136.59970381,  190.15496559])"
14230,"PLIHAL, M","array([ 34.35573894, -41.67934161])"
14231,"VAGNER, I","array([ 25.07756763, -38.14090629])"
14232,"CAFIERO, ADCR","array([  7.92730084, -16.55578329])"
14233,"TSVELIK, AANAM","array([  9.45900807, -44.94377806])"
14234,"GOLDMANN, E","array([ 33.0774804 , -23.18686083])"
14235,"GINDIKIN, Y","array([ 74.57740709, -50.19582367])"
14236,"JIN, H","array([248.60466601,  75.07134237])"
14237,"SKWIRBLIES, S","array([246.99456127,  76.11559544])"
14238,"BEREZOVSKY, SV","array([-96.10654629, 134.0308187 ])"
14239,"KIRILLOVA, O","array([-93.83092565, 153.89051001])"
14240,"FECHNER, A","array([ 22.99295481, -31.39256836])"
14241,"ARAUJOMOREIRA, FM","array([ 11.45893885, -71.28058339])"
14242,"FILHO, PNL","array([  4.05578601, -80.38328644])"
14243,"ZANETTI, SM","array([  4.68276471, -79.40516742])"
14244,"LEITE, ER","array([  4.92883997, -80.20341743])"
14245,"ORTIZ, WA","array([  4.58551754, -81.61923256])"
14246,"BAK, M","array([-193.41588688,  -95.53575428])"
14247,"MICNAS, R","array([-194.42829055,  -93.84804598])"
14248,"PEREZ, PF","array([ -12.81841265, -281.46608701])"
14249,"CASTELLANOS, CR","array([ -10.9552271 , -280.91729977])"
14250,"IHRA, W","array([ 30.58079657, -35.89605286])"
14251,"EVANS, TS","array([ 131.56555521, -278.31351976])"
14252,"STEER, DA","array([ 132.85664219, -276.79166709])"
14253,"MULLER, KH","array([  0.50827689, -99.18905412])"
14254,"PISMEN, LM","array([ 30.50613952, -60.42663796])"
14255,"HADZIBABIC, Z","array([ 68.51462224, -19.23907348])"
14256,"NENKOV, K","array([ -0.4384031 , -98.22191336])"
14257,"H, K","array([ -1.48773048, -98.0379727 ])"
14258,"ANTA, JA","array([-14.62335418,  -5.7967624 ])"
14259,"OZAKI, T","array([-193.94889616,   38.52518783])"
14260,"AOKI, M","array([-195.89726127,   38.44008337])"
14261,"PETTIFOR, DG","array([-195.00174645,   40.16736667])"
14262,"ASANO, Y","array([127.76665646, 170.0893988 ])"
14263,"JEANNERET, B","array([ 74.13483905, -39.30862643])"
14264,"HANSEN, MF","array([ -5.14067242, -56.16008862])"
14265,"KLEIN, U","array([ 24.54155311, -73.81990614])"
14266,"BAXENDALE, M","array([-189.78117484,  -84.9207582 ])"
14267,"RUPESINGHE, NL","array([-188.26694774,  -85.49357589])"
14268,"KOULOVASSILOPOULOS, GIV","array([ -33.54836566, -276.68674442])"
14269,"OZPINECI, A","array([ 77.65818425, -52.21354104])"
14270,"LEITNER, DM","array([ 78.13945795, -53.06225681])"
14271,"YACOBY, A","array([ 48.53721354, -63.96264504])"
14272,"MOSER, M","array([107.09135107, 173.56934548])"
14273,"PRETS, A","array([109.08164937, 173.90173242])"
14274,"SPITZER, WL","array([107.80296654, 175.4257671 ])"
14275,"KUSCER, D","array([  4.28670824, -74.35113808])"
14276,"KOSEC, M","array([  4.8006737 , -74.94515931])"
14277,"RICHARD, D","array([-7.5075703 , 13.24393129])"
14278,"ZEPEZAUER, E","array([-244.02327558,   -3.64120101])"
14279,"KALBECK, A","array([-244.11765266,   -5.03914324])"
14280,"GANICHEV, SD","array([-244.09219633,   -6.44390572])"
14281,"KORZENIETZ, W","array([-245.51976097,   -4.94223782])"
14282,"PRETTL, W","array([-242.71227278,   -5.0111716 ])"
14283,"WILKENS, M","array([ 73.74546039, -19.72538146])"
14284,"LONG, M","array([ 10.95628108, -49.57421291])"
14285,"MARKEZ, T","array([ 10.15354597, -49.56466017])"
14286,"LUZZI, R","array([240.37255996,  48.09774409])"
14287,"VASCONCELLOS, AR","array([238.58598476,  47.23455581])"
14288,"RAMOS, JG","array([240.22336352,  46.1319274 ])"
14289,"POLSON, JM","array([-20.9555024 , -37.36021533])"
14290,"PRONK, S","array([-20.95591385, -36.45515422])"
14291,"BAUER, GH","array([ 19.04926463, -69.83620427])"
14292,"MELKONYAN, G","array([-18.63589222, -66.11260205])"
14293,"GULIAN, AM","array([-18.74396173, -67.21271416])"
14294,"BERGERE, M","array([117.11112959, 193.1045275 ])"
14295,"VAST, N","array([ 42.64146812, -37.50260062])"
14296,"BESSON, JM","array([ 43.07503968, -37.96739114])"
14297,"MUELKEN, O","array([ 89.17513579, -58.659887  ])"
14298,"HARTING, J","array([ 88.92448854, -59.88025444])"
14299,"SUSAKI, T","array([ 17.3896361 , -84.70048304])"
14300,"TONOGAI, T","array([ 18.12258451, -84.91390001])"
14301,"RULMONT, A","array([21.12162531, 16.84207874])"
14302,"ANDREICA, D","array([ 32.60037627, -83.22590262])"
14303,"SCHAFER, J","array([ -1.70464282, -40.504069  ])"
14304,"SKRYPNIK, WI","array([193.91775397, 145.23136036])"
14305,"LEVESQUE, D","array([-20.98246293,  -8.97885275])"
14306,"WEIS, JJ","array([-20.83615076,  -8.04226714])"
14307,"WEICHMAN, PB","array([ 57.93533007, -17.70662357])"
14308,"APRILI, M","array([ 30.28951421, -48.69304506])"
14309,"KONTOS, T","array([ 30.67584445, -49.27982034])"
14310,"NORO, MG","array([-30.46249046, -47.04658407])"
14311,"KERN, N","array([-29.60811213, -47.63541838])"
14312,"VALENZUELA, B","array([ 23.09091001, -42.8182678 ])"
14313,"MAGDALENO, FX","array([15.28877031, -1.76061279])"
14314,"WEGROWE, JE","array([ 223.82830914, -118.66831666])"
14315,"COMMENT, A","array([ 225.05274444, -121.03123887])"
14316,"JACCARD, Y","array([ 224.02269108, -120.0545116 ])"
14317,"ANSERMET, JP","array([ 223.4278492 , -121.32006706])"
14318,"DEMPSEY, NM","array([ 225.30026634, -119.41957948])"
14319,"NOZIERES, J","array([ 222.65713162, -119.84767122])"
14320,"LUO, X","array([-17.3171979 , -58.79434737])"
14321,"HUANG, C","array([-16.46083143, -59.04798015])"
14322,"JIANG, J","array([-16.33640701, -58.02778085])"
14323,"JIRARI, H","array([-17.2139657 , -57.82269814])"
14324,"DARE, AM","array([ -20.32474019, -283.15245873])"
14325,"ALBINET, G","array([ -20.70477968, -281.21264622])"
14326,"GIRLANDA, M","array([ 242.27283639, -189.28069433])"
14327,"COMAS, F","array([51.1103625 ,  5.77930334])"
14328,"RICK, SW","array([-194.92832533, -223.49960221])"
14329,"HEFFNER, R","array([ 22.60678309, -68.68129195])"
14330,"KANEDA, K","array([  9.62847883, -40.65839064])"
14331,"MCCRONE, JE","array([ 35.44972684, -88.78831753])"
14332,"CAYSSOL, J","array([ 38.05883448, -99.80621828])"
14333,"KEVREKIDIS, PG","array([ 29.0608412 , -25.98732596])"
14334,"PASHKEVICH, YG","array([ 23.91244186, -86.69899826])"
14335,"BLINKIN, VA","array([ 25.36785117, -84.35802196])"
14336,"GNEZDILOV, VP","array([ 24.31721711, -84.83738056])"
14337,"TSAPENKO, VV","array([ 24.78068336, -84.63414993])"
14338,"EREMENKO, VV","array([ 24.36517055, -84.17936391])"
14339,"WACHTER, P","array([ 24.87438147, -84.03714597])"
14340,"RUBIN, SG","array([214.21821828,  58.69785351])"
14341,"TOYA, K","array([ 39.91573516, -16.6056236 ])"
14342,"FUKUSHIMA, K","array([ 40.58896077, -17.25809623])"
14343,"ALSAQER, M","array([  58.32540283, -107.35766723])"
14344,"KIRAKOSYAN, MMAAA","array([-125.7493954 ,  153.65525405])"
14345,"BUNK, O","array([60.41356454, -4.502477  ])"
14346,"ZEYSING, JH","array([59.48159604, -4.34460167])"
14347,"FALKENBERG, G","array([61.23925643, -5.05040525])"
14348,"JOHNSON, RL","array([61.40975867, -6.00430795])"
14349,"NIELSEN, M","array([60.30037706, -5.53794493])"
14350,"NIELSEN, MM","array([62.04921864, -2.17213633])"
14351,"FEIDENHANSL, R","array([59.2515192, -5.2235979])"
14352,"NAGEL, U","array([ 23.68711707, -88.09739538])"
14353,"LIPPMAA, E","array([ 24.36771414, -88.31746767])"
14354,"LOTTERMOSER, L","array([59.44080905, -6.19164917])"
14355,"BERGRASMUSSEN, F","array([60.56891707, -6.60908441])"
14356,"DALLAKYAN, SK","array([ 38.12822968, -13.04529981])"
14357,"HIRATA, S","array([  2.43128493, -65.91419764])"
14358,"BLAIZOT, JP","array([120.9134839 , 161.13778409])"
14359,"SACHRAJDA, A","array([ 65.36980346, -30.62818086])"
14360,"RAMAKRISHNAN, S","array([ 22.81299745, -94.02828758])"
14361,"GROVER, AK","array([ 23.46466358, -93.84297345])"
14362,"MISHRA, PK","array([ 21.35843528, -93.30284271])"
14363,"SAHNI, VC","array([ 22.02062196, -93.17495581])"
14364,"BALAKRISHNAN, G","array([ 19.2279403, -96.3791317])"
14365,"BERNARDET, K","array([ 13.08599423, -37.71378865])"
14366,"LILLO, F","array([8.77073686, 2.9096667 ])"
14367,"STRALEY, JP","array([ -9.71686327, -32.47244081])"
14368,"HUEBSCH, A","array([ -0.14633555, -60.74266833])"
14369,"WALTER, C","array([ -0.17639981, -65.46693335])"
14370,"HALEVI, P","array([59.39094807, -7.76353843])"
14371,"SAHOO, D","array([ 77.00024114, -43.24225578])"
14372,"MAO, JM","array([ 62.1641641 , -71.01181189])"
14373,"ZUDOV, ME","array([ 61.29505264, -71.10426819])"
14374,"LEE, PP","array([ 61.4340094 , -70.27333067])"
14375,"SADWICK, LP","array([ 62.26661518, -69.96296124])"
14376,"HW, RJ","array([ 62.96739516, -70.40300531])"
14377,"HELD, R","array([ 68.03156284, -38.15265252])"
14378,"LUESCHER, S","array([ 68.27891113, -38.89846276])"
14379,"FUHRER, A","array([ 69.03143017, -37.89050925])"
14380,"REYGONZALEZ, RR","array([57.70174097, 14.41304364])"
14381,"TOGAWA, Y","array([ 23.10825677, -86.5725715 ])"
14382,"CHEN, SY","array([ 12.02015274, -41.06399598])"
14383,"PASHCHENKO, VA","array([ 20.6193925 , -62.75979013])"
14384,"NEKRASOV, IA","array([ 20.80999408, -66.70580695])"
14385,"PISANI, L","array([  1.48759194, -52.22642751])"
14386,"PAN, SH","array([ 13.15236001, -80.31593005])"
14387,"HUDSON, EW","array([ 13.97350423, -80.39578654])"
14388,"LANG, KM","array([ 13.65853853, -80.90266715])"
14389,"DAVIS, JC","array([ 10.35738019, -85.92452253])"
14390,"PLEWA, JS","array([-19.28678141, -59.28744996])"
14391,"LU, M","array([ 70.70677208, -59.51393611])"
14392,"LEONPEREZ, FD","array([ 71.06967266, -58.71753232])"
14393,"SAMBANDAMURTHY, G","array([ -85.78212593, -279.4644216 ])"
14394,"DASGUPTA, K","array([ -83.64001759, -279.30427512])"
14395,"CHANDRASEKHAR, N","array([ -85.00612378, -280.94571692])"
14396,"AKCAY, AR","array([146.72555509, 162.52760527])"
14397,"ZIMAN, T","array([ 20.69674877, -52.68897265])"
14398,"RZHEVSKII, V","array([ -2.85621508, -54.77946017])"
14399,"MANDONNET, E","array([ 70.0876771 , -14.00795759])"
14400,"MINGUZI, A","array([ 70.45760685, -14.97632679])"
14401,"CARUSOTTO, I","array([ 71.04075337, -14.11497605])"
14402,"LAGOFERNANDEZ, LF","array([-197.9664751 , -200.73516592])"
14403,"HUERTA, R","array([-199.61552011, -200.19030344])"
14404,"CORBACHO, F","array([-197.41352986, -199.08786618])"
14405,"SIGUENZA, JA","array([-199.06633449, -198.54282242])"
14406,"KISELEV, A","array([-215.58012723,   27.66373119])"
14407,"OMIYA, T","array([ 46.97704834, -84.85275273])"
14408,"SAKON, T","array([ 40.08713461, -83.89612762])"
14409,"HAEFTEN, BV","array([-14.70745734,  14.17135391])"
14410,"REEDIJK, JA","array([ 51.4586447 , -63.87857236])"
14411,"MARTENS, HCF","array([ 50.78997539, -63.91205197])"
14412,"MICHELS, MAJ","array([ 54.98652011, -53.66306183])"
14413,"COSTI, T","array([ 33.1513178 , -44.58174973])"
14414,"BARNETT, RN","array([ 87.64871063, -43.55945666])"
14415,"GRINBERG, I","array([ 73.3813751 , -66.31727679])"
14416,"BRAGINSKY, L","array([300.90977047,  -7.75079598])"
14417,"TRAVING, M","array([  78.90859808, -110.78871567])"
14418,"KREIS, C","array([  78.1125989 , -109.85559178])"
14419,"ADELUNG, R","array([  79.77154116, -109.87863144])"
14420,"HORST, JWVD","array([ 62.13369077, -46.15954727])"
14421,"BOBBERT, PA","array([ 60.89075316, -45.3746689 ])"
14422,"BROCKS, G","array([ 61.35137798, -46.26204842])"
14423,"MOTOVILOV, AK","array([-235.80281738,  -66.50627788])"
14424,"SANDHAS, W","array([-234.87114784,  -68.48749682])"
14425,"BELYAEV, VB","array([-236.87644561,  -67.08672108])"
14426,"GENNES, PGD","array([-6.85227375, 10.97177091])"
14427,"GOETTKERSCHNETMANN, J","array([-63.26310206, 148.25196513])"
14428,"RAIMBAULT, J","array([-20.36815758, -31.24812756])"
14429,"CEVA, H","array([  8.80002614, 181.49956265])"
14430,"WOHLFAHRT, M","array([-12.52299747, -87.20582485])"
14431,"JANSSEN, AGM","array([-13.88329741, -85.64576079])"
14432,"HAUEISEN, R","array([-11.68241914, -86.66176863])"
14433,"WEISS, G","array([-12.94261969, -85.0988373 ])"
14434,"LASKIN, N","array([   9.50975781, -294.18200383])"
14435,"KARAKHANYAN, D","array([  5.70681768, -10.32351585])"
14436,"MIRUMYAN, M","array([  6.70851416, -14.52187401])"
14437,"LIECHTENSTEIN, A","array([-52.54873724, -96.78236579])"
14438,"GROSSE, I","array([ -6.63800105, -40.01124592])"
14439,"GOREMYCHKIN, E","array([ 37.99297185, -80.54368923])"
14440,"RAINFORD, B","array([ 38.48406057, -80.05984911])"
14441,"MURANI, A","array([ 38.02158019, -79.52548253])"
14442,"MASSOLO, G","array([21.37790924,  2.95582541])"
14443,"BUTORIN, SM","array([-109.67072124,  179.75779537])"
14444,"PASKVAN, M","array([ 18.24834277, -33.24666004])"
14445,"SCHIFFER, P","array([ 22.43104834, -42.32872983])"
14446,"GORIGIORGI, P","array([ 46.16374422, -55.92226703])"
14447,"SACCHETTI, F","array([ 46.4373051, -56.5719129])"
14448,"SCARLET, B","array([  8.83600897, -99.36265018])"
14449,"BLAIR, D","array([ 22.4913707 , -60.84218875])"
14450,"KLEMM, K","array([ 4.63963394, 19.82985135])"
14451,"SCHUSTER, HG","array([ 5.50746698, 20.88139179])"
14452,"BENETTIN, G","array([-1.76994619, -2.83566858])"
14453,"PERRONI, F","array([-26.56355624,  -9.84677714])"
14454,"HELLER, EJ","array([ 23.81527916, -27.66684933])"
14455,"TRIBE, R","array([ -1.45635251, 172.70171895])"
14456,"ZABORONSKI, O","array([ -0.47114336, 174.44016616])"
14457,"DORFMAN, JR","array([-25.42323214, -22.9468431 ])"
14458,"ADLER, RJ","array([ -28.3829699 , -306.09207084])"
14459,"NEMENMAN, IM","array([ -28.12123656, -307.79645381])"
14460,"OVERDUIN, JM","array([ -30.09068854, -306.35226605])"
14461,"SANTIAGO, DI","array([ -29.82944662, -308.09012195])"
14462,"CAHILL, M","array([282.6561895 , -53.81501584])"
14463,"FLEHARTY, M","array([284.11526831, -52.50233299])"
14464,"CAHILL, K","array([284.48004516, -54.41604966])"
14465,"BICUDO, PJDA","array([ 97.25168898, 186.84651508])"
14466,"SCHAEFER, BJ","array([-28.5459927 , -67.18577981])"
14467,"PIRNER, HJ","array([-26.82732395, -67.23452403])"
14468,"WANG, SY","array([16.24958716, 22.03079113])"
14469,"V, IV","array([300.20978501, -72.4112912 ])"
14470,"V, KI","array([302.22256539, -72.43061105])"
14471,"V, VP","array([301.2098865 , -74.15632815])"
14472,"POGOSIAN, L","array([ 84.76120485, -85.3340053 ])"
14473,"TEDESCO, L","array([-199.05150059,   87.76936775])"
14474,"KAWAI, H","array([ -1.04112073, -79.3930862 ])"
14475,"KITAZAWA, Y","array([ -0.26411283, -79.89787658])"
14476,"GRINZA, P","array([-13.36118143, -20.20591488])"
14477,"ZABRODIN, A","array([ 65.82126223, -65.85063794])"
14478,"HIROKAWA, M","array([22.35525698, 10.78661623])"
14479,"OGURISU, O","array([21.3175569 , 11.27432677])"
14480,"HORVATHY, MHPA","array([   7.25124482, -280.47883737])"
14481,"YERA, JC","array([   7.46421336, -282.46132705])"
14482,"CAPUTO, P","array([ 59.08143406, -23.25484832])"
14483,"SORNBORGER, A","array([40.62428591, 21.78164051])"
14484,"ANDERSEN, KH","array([ 14.37205216, -18.02609518])"
14485,"CARLSSON, AH","array([32.28246571, -3.30772867])"
14486,"MALMBERG, JN","array([31.52271708, -2.62763583])"
14487,"ANDERSON, D","array([32.08830109, -1.51279028])"
14488,"LISAK, M","array([31.26234019, -1.75502291])"
14489,"OSTROVSKAYA, EA","array([32.40102091, -2.45358112])"
14490,"STADELE, M","array([ 40.41057207, -74.79315315])"
14491,"CILIBERTO, A","array([ 8.11405618, 10.60687229])"
14492,"MENGONI, A","array([ 9.45112883, 10.61859177])"
14493,"BRONSKI, JC","array([268.2943147,  40.801618 ])"
14494,"MCLAUGHLIN, RM","array([266.29785639,  40.60089838])"
14495,"LEHNERTZ, K","array([-12.16283451, -37.94638269])"
14496,"KRIKELIS, A","array([-3.11015319,  2.6747277 ])"
14497,"VESZTERGOMBI, F","array([-3.0354885 ,  1.66526979])"
14498,"ROHRBACH, F","array([-4.00123004,  1.90310596])"
14499,"MACKIE, M","array([101.36282355,  -0.17846926])"
14500,"KOWALSKI, R","array([102.28967296,  -1.34419675])"
14501,"SEDLMAIER, S","array([ 71.10006177, -41.9983431 ])"
14502,"SCHEDELBECK, G","array([ 70.82662121, -40.30233055])"
14503,"ABSTREITER, G","array([ 71.339939  , -41.06137927])"
14504,"BAUER, WR","array([ -17.54841245, -265.86194757])"
14505,"BOCK, M","array([ -18.90264649, -265.56218097])"
14506,"SCHAD, LR","array([ -18.56946306, -266.93729926])"
14507,"WACKER, C","array([ -17.0925414 , -267.12929176])"
14508,"HARTLEP, A","array([ -17.96964261, -268.16919126])"
14509,"KIVSHAR, GERS","array([ -19.80507171, -266.56169612])"
14510,"ANDRADE, SCBD","array([16.97832437, 38.67835812])"
14511,"ERICHSEN, R","array([21.40577891, 15.29004932])"
14512,"SZIRMAI, G","array([100.0440267 ,  -5.96946079])"
14513,"ALIGIA, A","array([ -1.71913598, -72.00258755])"
14514,"HEBRAL, B","array([ 90.74821945, -75.58591855])"
14515,"CORWIN, AD","array([ 90.58166195, -76.77086071])"
14516,"HE, J","array([ 89.35606518, -76.86357154])"
14517,"CANEDY, C","array([ 44.01774269, -88.11194172])"
14518,"STANISHEVSKY, A","array([ 43.55712726, -89.40470091])"
14519,"MELNGAILIS, J","array([ 43.22732804, -88.51930487])"
14520,"ZHANG, CL","array([ 42.46177737, -75.60263948])"
14521,"DEANDRADE, MC","array([ 43.26971633, -74.89656652])"
14522,"GUPTA, KD","array([ -86.56197804, -281.79112509])"
14523,"MOORTHY, VHS","array([ -87.36445161, -280.26553795])"
14524,"PHYSICS, PPT","array([45.55008725,  9.53894513])"
14525,"ROY, R","array([ 35.6815171 , -54.49775252])"
14526,"RAY, E","array([ 25.114527  , -50.00751549])"
14527,"QIAN, X","array([ 58.3203002 , -37.82420387])"
14528,"SAKAMOTO, A","array([ 25.0244185, -61.1057293])"
14529,"NAKAMURA, F","array([179.24879519, 186.92898683])"
14530,"GOKO, T","array([180.00994883, 185.45840179])"
14531,"HORI, J","array([177.61475015, 186.67332649])"
14532,"UNO, Y","array([178.82660372, 184.30823083])"
14533,"KIKUGAWA, N","array([178.64255422, 185.68410726])"
14534,"FUJITA, T","array([177.36737885, 185.03789848])"
14535,"TENIERS, G","array([ 32.51228478, -75.16595973])"
14536,"CURRAS, S","array([ 31.64845483, -74.61889583])"
14537,"PERRET, J","array([ 32.15594322, -74.78120175])"
14538,"MARTINOLI, P","array([ 31.60703165, -72.49278697])"
14539,"LOCQUET, J","array([ 31.22285286, -74.93999964])"
14540,"TEITELBAUM, GB","array([ 179.79734041, -258.15981217])"
14541,"BFCCHNER, B","array([ 181.48118921, -259.13205373])"
14542,"GRONCKEL, HD","array([ 181.48403033, -257.18216289])"
14543,"REGINATTO, M","array([-141.21562862,  138.03534312])"
14544,"LENGYEL, F","array([-143.20400004,  138.29073267])"
14545,"BAGHDASSARIAN, O","array([171.84434162, 138.0932659 ])"
14546,"TABBERT, B","array([171.71655132, 140.07283391])"
14547,"CHU, H","array([175.76260296, 139.32798913])"
14548,"FRUSAWA, H","array([-227.38408969,   35.60990296])"
14549,"HAYAKAWA, R","array([-225.53245322,   34.87032994])"
14550,"BOUQUET, F","array([ 41.49001911, -63.31778372])"
14551,"MANDAL, S","array([109.72396469, 198.18909931])"
14552,"BHATTACHARYYA, STAJ","array([111.51825714, 197.34441842])"
14553,"XUE, YY","array([ 45.16300797, -81.82749937])"
14554,"MENG, RL","array([ 45.8042454 , -80.99878018])"
14555,"CMAIDALKA, J","array([ 45.03516932, -80.78533234])"
14556,"DEZANETI, LM","array([ 44.57710028, -81.43877509])"
14557,"LORENZ, B","array([ 45.30598512, -82.56843129])"
14558,"HEILMAN, AK","array([ 45.9014995 , -81.76680161])"
14559,"TOTSUKA, K","array([-26.58350878, -56.19807088])"
14560,"SHIBATA, J","array([231.7116083 ,  70.23233122])"
14561,"TAKAGI, S","array([233.0238084 ,  71.69184874])"
14562,"FINKELSTEIN, G","array([ 63.36509285, -60.73473706])"
14563,"EHLERS, G","array([ 26.65482316, -71.70730544])"
14564,"MEZEI, F","array([ 26.30050029, -71.21168317])"
14565,"NAVAU, C","array([ 11.90570909, -53.10897983])"
14566,"GUO, R","array([ 12.94904926, -64.73981147])"
14567,"NAKHMEDOV, EP","array([  2.86285397, -46.43133547])"
14568,"HOLLEITNER, AW","array([ 58.43561294, -40.18467353])"
14569,"QIN, H","array([ 59.29996881, -40.02381691])"
14570,"KIRKPATRICK, S","array([ -5.31919282, -22.79333321])"
14571,"SELMAN, B","array([ -5.33508406, -21.75180209])"
14572,"TROYANSKY, L","array([ -4.63668756, -21.19462474])"
14573,"STRAUSS, O","array([ -8.71579373, -19.57281902])"
14574,"DRAZER, G","array([-8.691443  ,  6.85648914])"
14575,"BARBARA, P","array([  2.90577063, -78.31426575])"
14576,"CAWTHORNE, AB","array([  3.78237255, -79.46278469])"
14577,"LOBB, CJ","array([  4.31054698, -78.55147561])"
14578,"GEMELKE, N","array([ 38.33212881, -57.27495837])"
14579,"PREOBRAZENSKIY, VV","array([ 71.56221515, -44.55006195])"
14580,"TSIMRING, LS","array([ 17.96935032, -63.14754196])"
14581,"GORKOM, RPV","array([ 57.14005528, -34.55070379])"
14582,"LAZO, E","array([ 32.16975086, -22.09941101])"
14583,"SEELIG, G","array([ 47.98310258, -29.65066952])"
14584,"BEATRICE, C","array([ 227.44038742, -135.34365946])"
14585,"LOBUE, M","array([ 227.30048134, -133.86517614])"
14586,"TIBERTO, P","array([ 228.63221793, -133.25093673])"
14587,"RAYCHAUDHURI, S","array([ -3.84577955, -24.81788712])"
14588,"FOSTER, DG","array([ -3.67614574, -25.60930753])"
14589,"JORNE, J","array([ -3.54781335, -24.05476039])"
14590,"ILANI, S","array([ 49.97633094, -69.7337697 ])"
14591,"CHIORESCU, I","array([ 44.67225602, -67.92703079])"
14592,"MULLER, A","array([ 48.50696035, -67.94390866])"
14593,"BOGGE, H","array([ 47.94957904, -68.35141486])"
14594,"BARBARA, B","array([ 52.41792943, -67.50535053])"
14595,"PASSOS, WAC","array([  4.68473685, -82.59599397])"
14596,"MARCHENKOV, A","array([  3.63193741, -93.7991185 ])"
14597,"SIMMONDS, RW","array([  4.2886836 , -95.03748639])"
14598,"LOSHAK, A","array([  3.39329058, -94.72302237])"
14599,"PACKARD, RE","array([  4.68093192, -94.0377565 ])"
14600,"VARANI, L","array([-0.09162367,  4.05603849])"
14601,"TASKINEN, LJ","array([ 80.12795458, -64.61073037])"
